class	class label	textdef	rhea	ec	metacyc
GO:0016675	oxidoreductase activity, acting on a heme group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a heme group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.9	
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	Catalysis of an oxidation-reduction (redox) reaction in which a diphenol or related substance acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.10	
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which the peroxide group acts as a hydrogen or electron acceptor.		EC:1.11	
GO:0016695	oxidoreductase activity, acting on hydrogen as donor	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen acts as an electron donor.		EC:1.12	
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and molecular oxygen is incorporated into a donor.		EC:1.13	
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.		EC:1.14	
GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which a superoxide radical (O2- or O2.-) acts as a hydrogen or electron acceptor.		EC:1.15	
GO:0016722	oxidoreductase activity, oxidizing metal ions	Catalysis of an oxidation-reduction in which the oxidation state of metal ion is altered.		EC:1.16	
GO:0016725	oxidoreductase activity, acting on CH or CH2 groups	Catalysis of an oxidation-reduction (redox) reaction in which a CH2 group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.17	
GO:0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors	Catalysis of an oxidation-reduction (redox) reaction in which an iron-sulfur protein acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.18	
GO:0016737	oxidoreductase activity, acting on reduced flavodoxin as donor	Catalysis of an oxidation-reduction (redox) reaction in which reduced flavodoxin acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.19	
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.2	
GO:0030611	arsenate reductase activity	Catalysis of the interconversion of arsenate and arsenite.			
GO:0030613	oxidoreductase activity, acting on phosphorus or arsenic in donors	Catalysis of an oxidation-reduction (redox) reaction in which a phosphorus- or arsenic-containing group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.20	
GO:0033796	sulfur reductase activity	Catalysis of the reduction of elemental sulfur or polysulfide to hydrogen sulfide.		EC:1.97.1.3	MetaCyc:1.97.1.3-RXN|MetaCyc:RXN-8269
GO:0035515	oxidative RNA demethylase activity	Catalysis of the removal of a methyl group from one or more nucleosides within a RNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.			
GO:0035516	oxidative DNA demethylase activity	Catalysis of the removal of the methyl group from one or more nucleotides within a DNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.			
GO:0042380	hydroxymethylbutenyl pyrophosphate reductase activity	Catalysis of the formation of both isopentenyl pyrophosphate and dimethylallyl pyrophosphate from (E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate.			
GO:0043364	glycyl-radical enzyme activating activity	Catalyzes the activation of an enzyme by generating an organic free radical on a glycine residue via a homolytic cleavage of S-adenosyl-L-methionine (SAM).		EC:1.97.1	
GO:0043880	crotonyl-CoA reductase activity	Catalysis of the reduction of crotonyl-CoA to butyryl-CoA.			
GO:0045550	geranylgeranyl reductase activity	Catalysis of the formation of phytyl group from the stepwise reduction of a geranylgeranyl group.			
GO:0046422	violaxanthin de-epoxidase activity	Catalysis of the reaction: violaxanthin + 2 ascorbate = zeaxanthin + 2 dehydroascorbate + 2 H2O; and antheraxanthin + ascorbate = zeaxanthin + dehydroascorbate + H2O.		EC:1.10.99.3	
GO:0046992	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond	Catalysis of an oxidation-reduction (redox) reaction in which X-H and Y-H form X-Y.		EC:1.21	
GO:0051213	dioxygenase activity	Catalysis of an oxidation-reduction (redox) reaction in which both atoms of oxygen from one molecule of O2 are incorporated into the (reduced) product(s) of the reaction. The two atoms of oxygen may be distributed between two different products.			
GO:0052583	oxidoreductase activity, acting on halogen in donors	Catalysis of an oxidation-reduction in which a halogen in the donor substance acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.		EC:1.22	
GO:0070576	vitamin D 24-hydroxylase activity	Catalysis of the hydroxylation of C-24 of any form of vitamin D.			
GO:0070643	vitamin D 25-hydroxylase activity	Catalysis of the hydroxylation of C-25 of any form of vitamin D.			
GO:0080132	fatty acid alpha-hydroxylase activity	Catalysis of the conversion of a fatty acid to an alpha-hydroxylated fatty acid. A hydroxyl group is added to the second carbon, counted from the carboxyl end, of a fatty acid chain.			
GO:0000031	mannosylphosphate transferase activity	Catalysis of the transfer of a mannosylphosphate group from one compound to another.			
GO:0008414	CDP-alcohol phosphotransferase activity	Catalysis of the transfer of a CDP-alcohol group from one compound to another.			
GO:0016741	transferase activity, transferring one-carbon groups	Catalysis of the transfer of a one-carbon group from one compound (donor) to another (acceptor).		EC:2.1	
GO:0016744	transferase activity, transferring aldehyde or ketonic groups	Catalysis of the transfer of an aldehyde or ketonic group from one compound (donor) to another (acceptor).		EC:2.2|EC:2.2.1	
GO:0016746	transferase activity, transferring acyl groups	Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).		EC:2.3	
GO:0016757	transferase activity, transferring glycosyl groups	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).		EC:2.4	
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor).		EC:2.5|EC:2.5.1	
GO:0016769	transferase activity, transferring nitrogenous groups	Catalysis of the transfer of a nitrogenous group from one compound (donor) to another (acceptor).		EC:2.6	
GO:0016772	transferase activity, transferring phosphorus-containing groups	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).		EC:2.7	
GO:0016782	transferase activity, transferring sulfur-containing groups	Catalysis of the transfer of a sulfur-containing group from one compound (donor) to another (acceptor).		EC:2.8	
GO:0016785	transferase activity, transferring selenium-containing groups	Catalysis of the transfer of a selenium-containing group from one compound (donor) to another (acceptor).		EC:2.9|EC:2.9.1	
GO:0019776	Atg8 ligase activity	Catalysis of the covalent attachment of the ubiquitin-like protein Atg8 to substrate molecules; phosphatidylethanolamine is a known substrate.			
GO:0019779	Atg8 activating enzyme activity	Catalysis of the activation of the small ubiquitin-related modifier APG8, through the formation of an ATP-dependent high-energy thiolester bond.			
GO:0019787	ubiquitin-like protein transferase activity	Catalysis of the transfer of a ubiquitin-like from one protein to another via the reaction X-ULP + Y --> Y-ULP + X, where both X-ULP and Y-ULP are covalent linkages. ULP represents a ubiquitin-like protein.			
GO:0042123	glucanosyltransferase activity	Catalysis of the splitting and linkage of glucan molecules, resulting in glucan chain elongation.			
GO:0043842	Kdo transferase activity	Catalysis of the reactions: (KDO)-lipid IVA + CMP-3-deoxy-D-manno-octulosonate = KDO2-lipid IVA + CMP, and lipid IVA + CMP-3-deoxy-D-manno-octulosonate = (KDO)-lipid IVA + CMP.			MetaCyc:KDOTRANS-RXN|MetaCyc:KDOTRANS2-RXN
GO:0061599	molybdopterin molybdotransferase activity	Catalysis of the reaction adenylyl-molybdopterin + molybdate = molybdenum cofactor + AMP.		EC:2.10.1.1	
GO:0061863	microtubule plus end polymerase	Catalysis of the transfer of tubulin dimers to the plus end of a microtubule. The reaction is reversable depending on the availability of dimers.			
GO:0008233	peptidase activity	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.		EC:3.4	
GO:0016788	hydrolase activity, acting on ester bonds	Catalysis of the hydrolysis of any ester bond.		EC:3.1	
GO:0016798	hydrolase activity, acting on glycosyl bonds	Catalysis of the hydrolysis of any glycosyl bond.		EC:3.2	
GO:0016801	hydrolase activity, acting on ether bonds	Catalysis of the hydrolysis of any ether or thioether bond, -O- or -S- respectively.		EC:3.3	
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	Catalysis of the hydrolysis of any carbon-nitrogen bond, C-N, with the exception of peptide bonds.		EC:3.5	
GO:0016817	hydrolase activity, acting on acid anhydrides	Catalysis of the hydrolysis of any acid anhydride.		EC:3.6	
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds	Catalysis of the hydrolysis of any acid carbon-carbon bond.		EC:3.7	
GO:0016824	hydrolase activity, acting on acid halide bonds	Catalysis of the hydrolysis of any acid halide bond.		EC:3.8	
GO:0016825	hydrolase activity, acting on acid phosphorus-nitrogen bonds	Catalysis of the hydrolysis of any acid phosphorus-nitrogen bond.		EC:3.9	
GO:0016826	hydrolase activity, acting on acid sulfur-nitrogen bonds	Catalysis of the hydrolysis of any acid sulfur-nitrogen bond.		EC:3.10	
GO:0016827	hydrolase activity, acting on acid carbon-phosphorus bonds	Catalysis of the hydrolysis of any acid carbon-phosphorus bond.		EC:3.11	
GO:0016828	hydrolase activity, acting on acid sulfur-sulfur bonds	Catalysis of the hydrolysis of any acid sulfur-sulfur bond.		EC:3.12	
GO:0017171	serine hydrolase activity	Catalysis of the hydrolysis of a substrate by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).			
GO:0019213	deacetylase activity	Catalysis of the hydrolysis of an acetyl group or groups from a substrate molecule.			
GO:0019239	deaminase activity	Catalysis of the removal of an amino group from a substrate, producing ammonia (NH3).			
GO:0003923	GPI-anchor transamidase activity	Catalysis of the formation of the linkage between a protein and a glycosylphosphatidylinositol anchor. The reaction probably occurs by subjecting a peptide bond to nucleophilic attack by the amino group of ethanolamine-GPI, transferring the protein from a signal peptide to the GPI anchor.		EC:3	
GO:0046508	hydrolase activity, acting on carbon-sulfur bonds	Catalysis of the hydrolysis of any carbon-sulfur bond, C-S.		EC:3.13	
GO:0098599	palmitoyl hydrolase activity	Catalysis of a hydrolase reaction that removes a palmitoyl moiety from some substrate.			
GO:0101005	ubiquitinyl hydrolase activity	Catalysis of the hydrolysis of ubiquitin from proteins and other molecules.			
GO:0016830	carbon-carbon lyase activity	Catalysis of the cleavage of C-C bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond.		EC:4.1	
GO:0016835	carbon-oxygen lyase activity	Catalysis of the breakage of a carbon-oxygen bond.		EC:4.2	
GO:0016840	carbon-nitrogen lyase activity	Catalysis of the release of ammonia or one of its derivatives, with the formation of a double bond or ring. Enzymes with this activity may catalyze the actual elimination of the ammonia, amine or amide, e.g. CH-CH(-NH-R) = C=CH- + NH2-R. Others, however, catalyze elimination of another component, e.g. water, which is followed by spontaneous reactions that lead to breakage of the C-N bond, e.g. L-serine ammonia-lyase (EC:4.3.1.17), so that the overall reaction is C(-OH)-CH(-NH2) = CH2-CO- + NH3, i.e. an elimination with rearrangement. The sub-subclasses of EC:4.3 are the ammonia-lyases (EC:4.3.1), lyases acting on amides, amidines, etc. (EC:4.3.2), the amine-lyases (EC:4.3.3), and other carbon-nitrogen lyases (EC:4.3.99).		EC:4.3	
GO:0016846	carbon-sulfur lyase activity	Catalysis of the elimination of hydrogen sulfide or substituted H2S.		EC:4.4	
GO:0016848	carbon-halide lyase activity	Catalysis of the breakage of a bond between carbon and any halogen atom.		EC:4.5	
GO:0016849	phosphorus-oxygen lyase activity	Catalysis of the cleavage of a phosphorus-oxygen bond by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond.		EC:4.6	
GO:0002952	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity	Catalysis of the reaction (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione = 3-hydroxy-5-phosphonooxypentane-2,4-dione.			
GO:0003916	DNA topoisomerase activity	Catalysis of the transient cleavage and passage of individual DNA strands or double helices through one another, resulting a topological transformation in double-stranded DNA.			MetaCyc:5.99.1.2-RXN
GO:0016854	racemase and epimerase activity	Catalysis of a reaction that alters the configuration of one or more chiral centers in a molecule.		EC:5.1	
GO:0016859	cis-trans isomerase activity	Catalysis of a reaction that interconverts cis and trans isomers. Atoms or groups are termed cis or trans to one another when they lie respectively on the same or on opposite sides of a reference plane identifiable as common among stereoisomers.		EC:5.2	
GO:0016860	intramolecular oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction in which the hydrogen donor and acceptor are the same molecule, and no oxidized product appears.		EC:5.3	
GO:0016866	intramolecular transferase activity	Catalysis of the transfer of a functional group from one position to another within a single molecule.		EC:5.4	
GO:0016872	intramolecular lyase activity	The catalysis of certain rearrangements of a molecule to break or form a ring.		EC:5.5	
GO:0061593	sulfoquinovose isomerase activity	Catalysis of the reaction sulfoquinovose = 6-deoxy-6-sulfofructose.			
GO:0140226	RNA topoisomerase activity	Catalysis of the transient cleavage and passage of individual RNA strands or double helices through one another, resulting a topological transformation in RNA			
GO:0003833	beta-alanyl-dopamine synthase activity	Catalysis of the synthesis of beta-alanyl-dopamine from the precursor dopamine (3,4-dihydroxyphenylethylamine).			
GO:0016875	ligase activity, forming carbon-oxygen bonds	Catalysis of the joining of two molecules via a carbon-oxygen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.1	
GO:0016877	ligase activity, forming carbon-sulfur bonds	Catalysis of the joining of two molecules via a carbon-sulfur bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.2	
GO:0016879	ligase activity, forming carbon-nitrogen bonds	Catalysis of the joining of two molecules, or two groups within a single molecule, via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.3	
GO:0016885	ligase activity, forming carbon-carbon bonds	Catalysis of the joining of two molecules via a carbon-carbon bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.4	
GO:0016886	ligase activity, forming phosphoric ester bonds	Catalysis of the joining of two molecules, or two groups within a single molecule, via a phosphoric ester bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.5	
GO:0045438	delta-(L-alpha-aminoadipyl)-L-cysteinyl-D-valine synthetase activity	Catalysis of the formation of delta-(L-alpha-aminoadipyl)-L-cysteinyl-D-valine from constituent amino acids and ATP in the presence of magnesium ions and dithioerythritol.			
GO:0051002	ligase activity, forming nitrogen-metal bonds	Catalysis of the joining of a metal ion to a molecule via a nitrogen-metal bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.		EC:6.6	
GO:0103016	tRNA-specific 2-thiouridylase activity	Catalysis of the reaction: ATP + H+ + a tRNA uridine34 + a [TusE sulfur carrier protein]-S-sulfanylcysteine = AMP + diphosphoric acid + a tRNA 2-thiouridine34 + a [TusE sulfur carrier protein]-L-cysteine			MetaCyc:RXN0-2023
GO:0004162	dimethylnitrosamine demethylase activity	Catalysis of the removal of a methyl group from N-nitrosodimethylamine.			
GO:0032452	histone demethylase activity	Catalysis of the removal of a methyl group from a histone.			
GO:0035514	DNA demethylase activity	Catalysis of the removal of a methyl group from one or more nucleosides within a DNA molecule.			
GO:0098608	methylselenol demethylase activity	Catalysis of the reaction: methylselenol + H2O => H2Se + CH3OH.			
GO:0003796	lysozyme activity	Catalysis of the hydrolysis of the beta-(1->4) linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan.		EC:3.2.1.17	MetaCyc:3.2.1.17-RXN
GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	Catalysis of the hydrolysis of the link between N-acetylmuramoyl residues and L-amino acid residues in certain bacterial cell-wall glycopeptides.		EC:3.5.1.28	MetaCyc:3.5.1.28-RXN
GO:0008933	lytic transglycosylase activity	Catalysis of the specific cleavage of the beta-(1->4) glycosidic linkage between N-acetylmuramyl and N-acetylglucosaminyl residues in peptidoglycan, with the concomitant formation of 1,6-anhydro-N-acetylmuramyl residues.		EC:3.2.1	
GO:0061784	peptidoglycan N-acetylglucosaminidase activity	Catalysis of the hydrolysis of (1->4)-beta linkages of N-acetyl-D-glucosamine (GlcNAc) from peptidoglycan.			
GO:0061785	peptidoglycan endopeptidase activity	An endopeptidase activity that uses peptidoglycan as a substrate.			
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0).		EC:5.2.1.8	MetaCyc:PEPTIDYLPROLYL-ISOMERASE-RXN
GO:0003756	protein disulfide isomerase activity	Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.		EC:5.3.4.1	MetaCyc:5.3.4.1-RXN
GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.			MetaCyc:PROTEIN-KINASE-RXN
GO:0008276	protein methyltransferase activity	Catalysis of the transfer of a methyl group (CH3-) to a protein.			
GO:0008318	protein prenyltransferase activity	Catalysis of the covalent addition of an isoprenoid group such as a farnesyl or geranylgeranyl group via thioether linkages to a cysteine residue in a protein.			
GO:0008961	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	Catalysis of the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the prospective N-terminal cysteine residue in an unmodified prolipoprotein.			
GO:0016755	transferase activity, transferring amino-acyl groups	Catalysis of the transfer of an amino-acyl group from one compound (donor) to another (acceptor).		EC:2.3.2	
GO:0016979	lipoate-protein ligase activity	Catalysis of the lipoylation of a protein in two steps: ATP + (R)-lipoate + a [lipoyl-carrier protein]-L-lysine = a [lipoyl-carrier protein]-N6-(lipoyl)lysine + AMP + diphosphate (overall reaction): (1) ATP + (R)-lipoate = lipoyl-AMP + diphosphate; (2) lipoyl-AMP + a [lipoyl-carrier protein]-L-lysine = a [lipoyl-carrier protein]-N6-(lipoyl)lysine + AMP.			MetaCyc:RXN-13039|MetaCyc:RXN-8654|MetaCyc:RXN-8655|MetaCyc:RXN0-1141
GO:0018031	peptidyl-lysine N6-palmitoyltransferase activity	Catalysis of the transfer of a palmitoyl group to the N6 nitrogen atom on a lysine residue of a peptide or protein molecule.		EC:2.3.1	
GO:0019707	protein-cysteine S-acyltransferase activity	Catalysis of the transfer of an acyl group to a sulfur atom on the cysteine of a protein molecule.			
GO:0030158	protein xylosyltransferase activity	Catalysis of the transfer of a beta-D-xylosyl residue from UDP-D-xylose to the serine hydroxyl group of an acceptor protein substrate.		EC:2.4.2.26	MetaCyc:2.4.2.26-RXN
GO:0033558	protein deacetylase activity	Catalysis of the hydrolysis of an acetyl group or groups from a protein substrate.			
GO:0035605	peptidyl-cysteine S-nitrosylase activity	Catalysis of the transfer of a nitric oxide (NO) group to a sulphur atom within a cysteine residue of a protein.			
GO:0036524	protein deglycase activity	Catalysis of the removal of a sugar or dicarbonyl from a lysine residue of a glycated protein.			
GO:0046922	peptide-O-fucosyltransferase activity	Catalysis of the transfer of an alpha-L-fucosyl residue from GDP- beta-L-fucose to the serine hydroxy group of a protein acceptor.		EC:2.4.1.221	MetaCyc:2.4.1.221-RXN
GO:0070735	protein-glycine ligase activity	Catalysis of the posttranslational transfer of one or more glycine residues to a specific glutamate residue on a target protein.		EC:6.3.2	
GO:0070739	protein-glutamic acid ligase activity	Catalysis of the posttranslational transfer of one or more glutamate residues to a specific residue on a target protein.		EC:6.3.2	
GO:0102193	protein-ribulosamine 3-kinase activity	Catalysis of the reaction: ATP + a [protein]-N6-D-ribulosyl-L-lysine <=> ADP + a [protein]-N6-(3-O-phospho-D-ribulosyl)-L-lysine		EC:2.7.1.172	MetaCyc:RXN-12003
GO:0102194	protein-fructosamine 3-kinase activity	Catalysis of the reaction: ATP + a [protein]-N6-D-fructosyl-L-lysine <=> ADP + H+ + a [protein]-N6-(3-O-phospho-D-fructosyl)-L-lysine		EC:2.7.1.171	MetaCyc:RXN-12005
GO:0103039	protein methylthiotransferase activity	Catalysis of the reaction: 2 S-adenosyl-L-methionine  + a [ribosomal protein S12] L-aspartate89 + a sulfurated [sulfur carrier] + a reduced electron acceptor = S-adenosyl-L-homocysteine  + L-methionine  + 5'-deoxyadenosine + 2 H+ + a [ribosomal protein S12] 3-methylthio-L-aspartate89 + an unsulfurated [sulfur carrier] + an oxidized electron acceptor		EC:2.8.4.4	MetaCyc:RXN0-6366
GO:0140103	catalytic activity, acting on a glycoprotein	catalytic activity, acting on a glycosylated protein			
GO:1990404	protein ADP-ribosylase activity	The transfer, from NAD, of ADP-ribose to a protein amino acid residue.			
