class	class label	def	op	goleft	goright	rhea	rhea label	is_match	info	info label
http://purl.obolibrary.org/obo/GO_0004383	guanylate cyclase activity	Catalysis of the reaction: GTP = 3',5'-cyclic GMP + diphosphate.	=	http://purl.obolibrary.org/obo/CHEBI_37565/GTP(4-)-1	http://purl.obolibrary.org/obo/CHEBI_57746/3',5'-cyclic GMP(1-)-1|http://purl.obolibrary.org/obo/CHEBI_18361/diphosphate(4-)-1	http://rdf.rhea-db.org/13665	GTP = 3',5'-cyclic GMP + diphosphate	nomatch	http://purl.obolibrary.org/obo/CHEBI_33019|http://purl.obolibrary.org/obo/CHEBI_37565|http://purl.obolibrary.org/obo/CHEBI_57746	diphosphate(3-)|GTP(4-)|3',5'-cyclic GMP(1-)
http://purl.obolibrary.org/obo/GO_0009976	tocopherol cyclase activity	Catalysis of the reaction: alkene group + alcohol group on same molecule = cyclic ether. Substrates are 2-methyl-6-phytyl-1,4- hydroquinone (forms delta-tocopherol) and 2,3-dimethyl-5-phytyl-1,4-hydroquinone (forms gamma-tocopherol).								
http://purl.obolibrary.org/obo/GO_0033190	solanapyrone synthase activity	Catalysis of the cyclization of double bonds in prosolanapyrone II to form (-)-solanapyrone A.								
http://purl.obolibrary.org/obo/GO_0034012	FAD-AMP lyase (cyclizing) activity	Catalysis of the reaction: FAD = AMP + riboflavin cyclic-4',5'-phosphate.								
http://purl.obolibrary.org/obo/GO_0034072	squalene cyclase activity	Catalysis of the reaction: squalene = triterpene.								
http://purl.obolibrary.org/obo/GO_0035439	halimadienyl-diphosphate synthase activity	Catalysis of the reaction: geranylgeranyl diphosphate = halima-5(6),13-dien-15-yl diphosphate.	=	http://purl.obolibrary.org/obo/CHEBI_57533/geranylgeranyl diphosphate(3-)-1	http://x.org/noparse#halima-5(6),13-dien-15-yl diphosphate/halima-5(6),13-dien-15-yl diphosphate-1	http://rdf.rhea-db.org/25621	geranylgeranyl diphosphate = tuberculosinyl diphosphate	matched	halima-5(6),13-dien-15-yl diphosphate=http://purl.obolibrary.org/obo/CHEBI_58822	
http://purl.obolibrary.org/obo/GO_0036356	cyclic 2,3-diphosphoglycerate synthetase activity	Catalysis of the reaction: 2,3-diphosphoglycerate (DPG) + ATP = cyclic 2,3-diphosphoglycerate (cDPG) + ADP + phosphate.								
http://purl.obolibrary.org/obo/GO_0045435	lycopene epsilon cyclase activity	Catalysis of the cyclization of an epsilon ring at one end of the lycopene molecule (psi, psi-carotene) to form delta-carotene (epsilon, psi-carotene).								
http://purl.obolibrary.org/obo/GO_0045436	lycopene beta cyclase activity	Catalysis of the cyclization of beta rings at one or both ends of the lycopene molecule (psi, psi-carotene) to form gamma-carotene or the bicyclic beta-carotene (beta, beta-carotene), respectively.								
http://purl.obolibrary.org/obo/GO_0046423	allene-oxide cyclase activity	Catalysis of the reaction: (9Z,13S,15Z)-12,13-epoxyoctadeca-9,11,15-trienoate = (15Z)-12-oxophyto-10,15-dienoate.	=	http://purl.obolibrary.org/obo/CHEBI_36438/(9Z,13S,15Z)-12,13-epoxyoctadeca-9,11,15-trienoate-1	http://purl.obolibrary.org/obo/CHEBI_57411/(15Z)-12-oxophyto-10,15-dienoate-1	http://rdf.rhea-db.org/22592	(9Z,13S,15Z)-12,13-epoxyoctadeca-9,11,15-trienoate = (10Z,15Z)-12-oxophytodienoate	matched		
http://purl.obolibrary.org/obo/GO_0047768	carboxy-cis,cis-muconate cyclase activity	Catalysis of the reaction: 3-carboxy-2,5-dihydro-5-oxofuran-2-acetate = 3-carboxy-cis,cis-muconate.	=	http://purl.obolibrary.org/obo/CHEBI_57976/2-(carboxylatomethyl)-5-oxo-2,5-dihydrofuran-2-ide-3-carboxylate-1	http://purl.obolibrary.org/obo/CHEBI_57496/3-carboxy-cis,cis-muconate(3-)-1	http://rdf.rhea-db.org/14977	3-carboxy-2,5-dihydro-5-oxofuran-2-acetate = 3-carboxy-cis,cis-muconate	matched		
http://purl.obolibrary.org/obo/GO_0047805	cytidylate cyclase activity	Catalysis of the reaction: CTP = 3',5'-cyclic CMP + diphosphate + H(+).	=	http://purl.obolibrary.org/obo/CHEBI_17677/CTP-1	http://purl.obolibrary.org/obo/CHEBI_58003/3',5'-cyclic CMP(1-)-1|http://purl.obolibrary.org/obo/CHEBI_18361/diphosphate(4-)-1|http://purl.obolibrary.org/obo/CHEBI_15378/hydron-1	http://rdf.rhea-db.org/14737	CTP = 3',5'-cyclic CMP + diphosphate	nomatch	http://purl.obolibrary.org/obo/CHEBI_33019|http://purl.obolibrary.org/obo/CHEBI_37563|http://purl.obolibrary.org/obo/CHEBI_58003	diphosphate(3-)|CTP(4-)|3',5'-cyclic CMP(1-)
http://purl.obolibrary.org/obo/GO_0047820	D-glutamate cyclase activity	Catalysis of the reaction: D-glutamate = 5-oxo-D-proline + H(2)O.	=	http://purl.obolibrary.org/obo/CHEBI_29986/D-glutamate(1-)-1	http://purl.obolibrary.org/obo/CHEBI_57948/5-oxo-D-prolinate-1|http://x.org/noparse#H(2)O/H(2)O-1	http://rdf.rhea-db.org/22360	D-glutamate = 5-oxo-D-proline + H2O	nomatch	http://purl.obolibrary.org/obo/CHEBI_15377|http://purl.obolibrary.org/obo/CHEBI_29986|http://purl.obolibrary.org/obo/CHEBI_57948	water|D-glutamate(1-)|5-oxo-D-prolinate
http://purl.obolibrary.org/obo/GO_0047926	geranyl-diphosphate cyclase activity	Catalysis of the reaction: geranyl diphosphate = (2S)-bornyl diphosphate.	=	http://purl.obolibrary.org/obo/CHEBI_58057/geranyl diphosphate(3-)-1	http://purl.obolibrary.org/obo/CHEBI_57293/(+)-bornyl diphosphate(3-)-1	http://rdf.rhea-db.org/18209	(2E)-geranyl diphosphate = (2S)-bornyl diphosphate	matched		
http://purl.obolibrary.org/obo/GO_0050230	purine imidazole-ring cyclase activity	Catalysis of the reaction: DNA 4,6-diamino-5-formamidopyrimidine = DNA adenine + H2O.								
http://purl.obolibrary.org/obo/GO_0052604	delta-tocopherol cyclase activity	Catalysis of the reaction: 2-methyl-6-phytyl-1,4-benzoquinone = delta-tocopherol.								
http://purl.obolibrary.org/obo/GO_0052605	gamma-tocopherol cyclase activity	Catalysis of the reaction: 2,3-dimethyl-6-phytyl-1,4-benzoquinone = gamma-tocopherol.								
http://purl.obolibrary.org/obo/GO_0061811	ADP-ribosyl cyclase activity	Catalysis of the reaction: NAD = cyclic ADP-ribose + nicotinamide.								
http://purl.obolibrary.org/obo/GO_0080015	sabinene synthase activity	Catalysis of the reaction: geranyl diphosphate = sabinene + diphosphate.								
http://purl.obolibrary.org/obo/GO_0080016	(-)-E-beta-caryophyllene synthase activity	Catalysis of the reaction: 2-trans,6-trans-farnesyl diphosphate = (-)-E-beta-caryophyllene + diphosphate.								
http://purl.obolibrary.org/obo/GO_0080017	alpha-humulene synthase activity	Catalysis of the reaction: 2-trans,6-trans-farnesyl diphosphate = alpha-humulene + diphosphate.								
http://purl.obolibrary.org/obo/GO_0000170	sphingosine hydroxylase activity	Catalysis of the hydroxylation of sphingolipid long chain bases.								
http://purl.obolibrary.org/obo/GO_0001512	dihydronicotinamide riboside quinone reductase activity	Catalysis of the reaction: 1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide + a quinone = 1-(beta-D-ribofuranosyl)nicotinamide + a hydroquinone.								
http://purl.obolibrary.org/obo/GO_0003826	alpha-ketoacid dehydrogenase activity	Catalysis of an oxidation-reduction (redox) reaction involving an alpha-ketoacid.								
http://purl.obolibrary.org/obo/GO_0004154	dihydropterin oxidase activity	Catalysis of the reaction: a 7,8-dihydropteridine + O2 = a pterin + hydrogen peroxide.								
http://purl.obolibrary.org/obo/GO_0004497	monooxygenase activity	Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.								
http://purl.obolibrary.org/obo/GO_0004800	thyroxine 5'-deiodinase activity	Catalysis of the reaction: 3,5,3'-L-triiodo-L-thyronine + iodide + acceptor + H+ = L-thyroxine + donor-H2.	=	http://x.org/noparse#3,5,3'-L-triiodo-L-thyronine/3,5,3'-L-triiodo-L-thyronine-1|http://purl.obolibrary.org/obo/CHEBI_16382/iodide-1|http://purl.obolibrary.org/obo/CHEBI_15339/acceptor-1|http://purl.obolibrary.org/obo/CHEBI_15378/hydron-1	http://purl.obolibrary.org/obo/CHEBI_58448/L-thyroxine zwitterion-1|http://x.org/noparse#donor-H2/donor-H2-1	http://rdf.rhea-db.org/19745	3,3',5-triiodo-L-thyronine + A + H(+) + iodide = AH2 + L-thyroxine	nomatch	http://purl.obolibrary.org/obo/CHEBI_13193|http://purl.obolibrary.org/obo/CHEBI_15378|http://purl.obolibrary.org/obo/CHEBI_16382|http://purl.obolibrary.org/obo/CHEBI_17499|http://purl.obolibrary.org/obo/CHEBI_533015|http://purl.obolibrary.org/obo/CHEBI_58448	hydrogen acceptor|hydron|iodide|hydrogen donor|3,3',5-triiodo-L-thyronine zwitterion|L-thyroxine zwitterion
http://purl.obolibrary.org/obo/GO_0004836	tyramine-beta hydroxylase activity	Catalysis of the hydroxylation of tyramine to form octopamine.								
http://purl.obolibrary.org/obo/GO_0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.								
http://purl.obolibrary.org/obo/GO_0009055	electron transfer activity	Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.								
http://purl.obolibrary.org/obo/GO_0010242	oxygen evolving activity	Catalysis of the reaction: 2 H2O = O2 + 4 H+ + 4 e-. The evolution of oxygen from oxidizing water is carried out by the oxygen evolving complex in photosystem II of plants. P680+, the photochemically oxidized reaction-center chlorophyll of PSII, is a strong biological oxidant. The reduction potential of P680+ is more positive than that of water, and thus it can oxidize water to give O2 and H+ ions. The oxygen escapes as a gas while the H+ ions remain in solution inside the thylakoid vesicle.								
http://purl.obolibrary.org/obo/GO_0015002	heme-copper terminal oxidase activity	Catalysis of the four-electron reduction of dioxygen (O2) to water, coupled to generation of a proton electrochemical gradient across a membrane.								
http://purl.obolibrary.org/obo/GO_0015039	NADPH-adrenodoxin reductase activity	Catalysis of the reaction: oxidized adrenodoxin + NADPH + H+ = reduced adrenodoxin + NADP+.								
http://purl.obolibrary.org/obo/GO_0015048	phthalate dioxygenase reductase activity	Catalysis of the transfer of electrons between pyridine nucleotides (obligatory two-electron carriers) and hemes or (2Fe-2S) centers (obligatory one-electron carriers) in respiration, photosynthesis, and many oxygenase systems.								
http://purl.obolibrary.org/obo/GO_0016229	steroid dehydrogenase activity	Catalysis of an oxidation-reduction (redox) reaction in which one substrate is a sterol derivative.								
http://purl.obolibrary.org/obo/GO_0016614	oxidoreductase activity, acting on CH-OH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group act as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016627	oxidoreductase activity, acting on the CH-CH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH2 group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016645	oxidoreductase activity, acting on the CH-NH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016651	oxidoreductase activity, acting on NAD(P)H	Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors	Catalysis of an oxidation-reduction (redox) reaction in which a nitrogenous group, excluding NH and NH2 groups, acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016667	oxidoreductase activity, acting on a sulfur group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a sulfur-containing group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016675	oxidoreductase activity, acting on a heme group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a heme group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016679	oxidoreductase activity, acting on diphenols and related substances as donors	Catalysis of an oxidation-reduction (redox) reaction in which a diphenol or related substance acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016684	oxidoreductase activity, acting on peroxide as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which the peroxide group acts as a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016695	oxidoreductase activity, acting on hydrogen as donor	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen acts as an electron donor.								
http://purl.obolibrary.org/obo/GO_0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and molecular oxygen is incorporated into a donor.								
http://purl.obolibrary.org/obo/GO_0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.								
http://purl.obolibrary.org/obo/GO_0016721	oxidoreductase activity, acting on superoxide radicals as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which a superoxide radical (O2- or O2.-) acts as a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016722	oxidoreductase activity, oxidizing metal ions	Catalysis of an oxidation-reduction in which the oxidation state of metal ion is altered.								
http://purl.obolibrary.org/obo/GO_0016725	oxidoreductase activity, acting on CH or CH2 groups	Catalysis of an oxidation-reduction (redox) reaction in which a CH2 group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors	Catalysis of an oxidation-reduction (redox) reaction in which an iron-sulfur protein acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016737	oxidoreductase activity, acting on reduced flavodoxin as donor	Catalysis of an oxidation-reduction (redox) reaction in which reduced flavodoxin acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0018698	vinyl chloride reductive dehalogenase activity	Catalysis of the reaction: vinyl chloride + 2 H+ + 2 e- = HCl + ethene.								
http://purl.obolibrary.org/obo/GO_0018699	1,1,1-trichloroethane reductive dehalogenase activity	Catalysis of the reaction: 1,1,1-trichloroethane + 2 H+ + 2 e- = 1,1-dichloroethane + HCl.								
http://purl.obolibrary.org/obo/GO_0018700	2-chloro-N-isopropylacetanilide reductive dehalogenase activity	Catalysis of the reaction: 2-chloro-N-isopropylacetanilide + H+ + 2 e- = Cl- + N-isopropylacetanilide.								
http://purl.obolibrary.org/obo/GO_0018701	2,5-dichlorohydroquinone reductive dehalogenase activity	Catalysis of the reaction: organohalide + 2 H+ + 2 e- = R-H + HCl. Reactants include chlorohydroquinone (forms hydroquinone) and 2,5-dichlorohydroquinone (forms chlorohydroquinone).								
http://purl.obolibrary.org/obo/GO_0018702	1,1-dichloro-2,2-bis(4-chlorophenyl)ethene dehalogenase activity	Catalysis of the reaction: 1,1-dichloro-2,2-bis(4-chlorophenyl)ethene + H+ + 2 e- = Cl- + 1-chloro-2,2-bis(4-chlorophenyl)ethene. 1,1-dichloro-2,2-bis(4-chlorophenyl)ethene is also known as DDE; 1-chloro-2,2-bis(4-chlorophenyl)ethene is also known as DDMU.								
http://purl.obolibrary.org/obo/GO_0018703	2,4-dichlorophenoxyacetate dehalogenase activity	Catalysis of the reaction: 2,4-dichlorophenoxyacetic acid + H+ + 2 e- = Cl- + 4-chlorophenoxyacetate.								
http://purl.obolibrary.org/obo/GO_0018705	1,2-dichloroethene reductive dehalogenase activity	Catalysis of the reaction: 1,2-dichloroethene + 2 H+ + 2 e- = HCl + vinyl chloride.								
http://purl.obolibrary.org/obo/GO_0018706	pyrogallol hydroxytransferase activity	Catalysis of the reaction: 1,2,3,5-tetrahydroxybenzene + 1,2,3-trihydroxybenzene = 1,3,5-trihydroxybenzene + 1,2,3,5-tetrahydroxybenzene.								
http://purl.obolibrary.org/obo/GO_0019168	2-octaprenylphenol hydroxylase activity	Catalysis of the reaction: 2-octaprenylphenol + NADPH + O2 + H+ = 2-octaprenyl-6-hydroxyphenol + NADP+ + H2O.								
http://purl.obolibrary.org/obo/GO_0019174	tetrahydrothiophene 1-oxide reductase activity	Catalysis of the reaction: tetrahydrothiophene 1-oxide + reduced acceptor = tetrahydrothiophene + acceptor.								
http://purl.obolibrary.org/obo/GO_0030611	arsenate reductase activity	Catalysis of the interconversion of arsenate and arsenite.								
http://purl.obolibrary.org/obo/GO_0030613	oxidoreductase activity, acting on phosphorus or arsenic in donors	Catalysis of an oxidation-reduction (redox) reaction in which a phosphorus- or arsenic-containing group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.								
http://purl.obolibrary.org/obo/GO_0033796	sulfur reductase activity	Catalysis of the reduction of elemental sulfur or polysulfide to hydrogen sulfide.								
http://purl.obolibrary.org/obo/GO_0033797	selenate reductase activity	Catalysis of the reaction: 2 e(-) + 2 H(+) + selenate = H(2)O + selenite.	=	http://purl.obolibrary.org/obo/CHEBI_10545/electron-2|http://purl.obolibrary.org/obo/CHEBI_15378/hydron-2|http://purl.obolibrary.org/obo/CHEBI_15075/selenate-1	http://x.org/noparse#H(2)O/H(2)O-1|http://purl.obolibrary.org/obo/CHEBI_18212/selenite(2-)-1	http://rdf.rhea-db.org/14031	AH2 + selenate => A + H2O + selenite	nomatch		
http://purl.obolibrary.org/obo/GO_0033798	thyroxine 5-deiodinase activity	Catalysis of the reaction: 3,3',5'-triiodo-L-thyronine + iodide + A + H+ = L-thyroxine + AH2.	=	http://purl.obolibrary.org/obo/CHEBI_57261/3,3',5'-triiodo-L-thyronine zwitterion-1|http://purl.obolibrary.org/obo/CHEBI_16382/iodide-1|http://purl.obolibrary.org/obo/CHEBI_46217/L-alanine residue-1|http://purl.obolibrary.org/obo/CHEBI_15378/hydron-1	http://purl.obolibrary.org/obo/CHEBI_58448/L-thyroxine zwitterion-1|http://purl.obolibrary.org/obo/CHEBI_17499/hydrogen donor-1	http://rdf.rhea-db.org/18897	3,3',5'-triiodo-L-thyronine + A + H(+) + iodide = AH2 + L-thyroxine	nomatch	http://purl.obolibrary.org/obo/CHEBI_13193|http://purl.obolibrary.org/obo/CHEBI_15378|http://purl.obolibrary.org/obo/CHEBI_16382|http://purl.obolibrary.org/obo/CHEBI_17499|http://purl.obolibrary.org/obo/CHEBI_57261|http://purl.obolibrary.org/obo/CHEBI_58448	hydrogen acceptor|hydron|iodide|hydrogen donor|3,3',5'-triiodo-L-thyronine zwitterion|L-thyroxine zwitterion
http://purl.obolibrary.org/obo/GO_0034539	3,3',5,5'-tetrabromobisphenol A reductive dehalogenase activity	Catalysis of the reaction: 3,3',5,5'-tetrabromobisphenol A + 2 H+ + 2 e- = 3,3',5-tribromobisphenol A + HBr.								
http://purl.obolibrary.org/obo/GO_0034540	3-monobromobisphenol A reductive dehalogenase activity	Catalysis of the reaction: 3-monobromobisphenol A + 2 H+ + 2 e- = bisphenol A + HBr.								
http://purl.obolibrary.org/obo/GO_0034542	trimethylarsine oxidase activity	Catalysis of the reaction: trimethylarsine oxide + 2 H+ + 2 e- = trimethylarsine + H2O.								
http://purl.obolibrary.org/obo/GO_0034546	2,4-dichloroaniline reductive dehalogenase activity	Catalysis of the reaction: 2,4-dichloroaniline + 2 H+ + 2 e- = 4-chloroaniline + HCl.								
http://purl.obolibrary.org/obo/GO_0034550	dimethylarsinate reductase activity	Catalysis of the reaction: dimethylarsinate + 3 H+ + 2 e- = dimethylarsinous acid + H2O.								
http://purl.obolibrary.org/obo/GO_0034554	3,3',5-tribromobisphenol A reductive dehalogenase activity	Catalysis of the reaction: 3,3',5-tribromobisphenol A + 2 H+ + 2 e- = 3,3'-dibromobisphenol A + HBr.								
http://purl.obolibrary.org/obo/GO_0034555	3,3'-dibromobisphenol A reductive dehalogenase activity	Catalysis of the reaction: 3,3'-dibromobisphenol A + 2 H+ + 2 e- = 3-monobromobisphenol A + HBr.								
http://purl.obolibrary.org/obo/GO_0034567	chromate reductase activity	Catalysis of the reaction: chromate = chromium (III).								
http://purl.obolibrary.org/obo/GO_0034937	perchlorate reductase activity	Catalysis of the reaction: perchlorate + 2 H+ + 2 e- = chlorate + H2O.								
http://purl.obolibrary.org/obo/GO_0034949	1,1-dichloroethane reductive dehalogenase activity	Catalysis of the reaction: 1,1-dichloroethane + 2 H+ + 2 e- = chloroethane + HCl.								
http://purl.obolibrary.org/obo/GO_0035515	oxidative RNA demethylase activity	Catalysis of the removal of a methyl group from one or more nucleosides within a RNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.								
http://purl.obolibrary.org/obo/GO_0035516	oxidative DNA demethylase activity	Catalysis of the removal of the methyl group from one or more nucleotides within a DNA molecule involving the oxidation (i.e. electron loss) of one or more atoms.								
http://purl.obolibrary.org/obo/GO_0036354	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase activity	Catalysis of the reaction: 2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a = bacteriochlorophyllide a + 2 H+.								
http://purl.obolibrary.org/obo/GO_0042380	hydroxymethylbutenyl pyrophosphate reductase activity	Catalysis of the formation of both isopentenyl pyrophosphate and dimethylallyl pyrophosphate from (E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate.								
http://purl.obolibrary.org/obo/GO_0043364	glycyl-radical enzyme activating activity	Catalyzes the activation of an enzyme by generating an organic free radical on a glycine residue via a homolytic cleavage of S-adenosyl-L-methionine (SAM).								
