class	class label	op	goleft	goright	rhea	rhea label	score	info	info label	def
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:41756	1-O-methyl (9Z,12Z)-octadecadienoate + O2 = 1-O-methyl (9Z,11E,13S)-hydroperoxyoctadecadienoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_69080|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78040	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:43480	1-O-methyl (5Z,8Z,11Z,14Z)-eicosatetraenoate + O2 = 1-O-methyl-8-hydroperoxy-(5Z,9E,11Z,14Z)-eicosatetraenoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_78033|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_83344	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:45288	2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-glycerol + 2 O2 = 2-glyceryl-prostaglandin G2	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_85165|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_52392	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:50160	N-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-taurine + O2 = N-(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoyl-taurine	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_132060|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_132061	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:50824	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate + O2 = 14-hydroperoxy-(4Z,7Z,10Z,12E,16Z)-docosapentaenoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_77226|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_133799	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:50832	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoate + O2 = 17-hydroperoxy-(7Z,10Z,13Z,15E,19Z)-docosapentaenoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_77224|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_133797	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:50836	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoate + O2 = 14-hydroperoxy-(7Z,10Z,12E,16Z,19Z)-docosapentaenoate	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_77224|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_133798	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:53332	2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-glycerol + O2 = 2-[15(S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoyl]-glycerol	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_52392|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_137187	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:54120	coelenterazine h + O2 = coelenterazine h dioxetanone	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_16531|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_138063	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:54204	2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine + 2 O2 = 2-(prostaglandin G2)-sn-glycero-3-phosphoethanolamine	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_76091|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_138098	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0008682	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	=	http://x.org/noparse#2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	http://x.org/noparse#2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone/2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone-1	rh:54212	2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + 2 O2 = 2-(prostaglandin G2)-sn-glycero-3-phosphocholine	-96	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_76079|2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone=http://purl.obolibrary.org/obo/CHEBI_138100	|	Catalysis of the reaction: 2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone + O2 = 2-octoprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone.
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	=	http://x.org/noparse#tRNA-(2-methylthio-N-6-isopentenyl adenosine)/tRNA-(2-methylthio-N-6-isopentenyl adenosine)-1	http://x.org/noparse#tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)/tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	rh:17953	3-hydroxyanthranilate + O2 = (2Z,4Z)-2-amino-3-carboxymuconate 6-semialdehyde	-96	tRNA-(2-methylthio-N-6-isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_36559|tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_77612	|	Catalysis of the reaction: tRNA-(2-methylthio-N-6-isopentenyl adenosine) = tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine) + O2. 2-methylthio-N-6-isopentenyl adenosine is also known as ms2i6A; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine is also known as ms2io6A and 2-methylthio-cis-ribozeatin.
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	=	http://x.org/noparse#tRNA-(2-methylthio-N-6-isopentenyl adenosine)/tRNA-(2-methylthio-N-6-isopentenyl adenosine)-1	http://x.org/noparse#tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)/tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	rh:21340	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene + O2 = 2 4-hydroxy-3-methoxybenzaldehyde	-96	tRNA-(2-methylthio-N-6-isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_18346|tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_17501	|	Catalysis of the reaction: tRNA-(2-methylthio-N-6-isopentenyl adenosine) = tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine) + O2. 2-methylthio-N-6-isopentenyl adenosine is also known as ms2i6A; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine is also known as ms2io6A and 2-methylthio-cis-ribozeatin.
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	=	http://x.org/noparse#tRNA-(2-methylthio-N-6-isopentenyl adenosine)/tRNA-(2-methylthio-N-6-isopentenyl adenosine)-1	http://x.org/noparse#tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)/tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	rh:26305	2-aminophenol + O2 = 2-aminomuconate 6-semialdehyde	-96	tRNA-(2-methylthio-N-6-isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_77634|tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_18112	|	Catalysis of the reaction: tRNA-(2-methylthio-N-6-isopentenyl adenosine) = tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine) + O2. 2-methylthio-N-6-isopentenyl adenosine is also known as ms2i6A; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine is also known as ms2io6A and 2-methylthio-cis-ribozeatin.
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	=	http://x.org/noparse#tRNA-(2-methylthio-N-6-isopentenyl adenosine)/tRNA-(2-methylthio-N-6-isopentenyl adenosine)-1	http://x.org/noparse#tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)/tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	rh:37543	2-amino-5-chlorophenol + O2 = 2-amino-5-chloromuconate 6-semialdehyde	-96	tRNA-(2-methylthio-N-6-isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_75057|tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_75051	|	Catalysis of the reaction: tRNA-(2-methylthio-N-6-isopentenyl adenosine) = tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine) + O2. 2-methylthio-N-6-isopentenyl adenosine is also known as ms2i6A; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine is also known as ms2io6A and 2-methylthio-cis-ribozeatin.
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	=	http://x.org/noparse#tRNA-(2-methylthio-N-6-isopentenyl adenosine)/tRNA-(2-methylthio-N-6-isopentenyl adenosine)-1	http://x.org/noparse#tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)/tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-1|http://purl.obolibrary.org/obo/CHEBI_15379/dioxygen-1	rh:40495	N-[omega-(9Z,12Z)-octadecadienoyloxy]acyl-beta-D-glucosyl-(1<->1)-octadecasphing-4E-enine + O2 = N-[omega-(9R)-hydroperoxy-(10E,12Z)-octadecadienoyloxy]acyl-beta-D-glucosyl-(1<->1)-octadecasphing-4E-enine	-96	tRNA-(2-methylthio-N-6-isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_134621|tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)=http://purl.obolibrary.org/obo/CHEBI_134624	|	Catalysis of the reaction: tRNA-(2-methylthio-N-6-isopentenyl adenosine) = tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine) + O2. 2-methylthio-N-6-isopentenyl adenosine is also known as ms2i6A; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine is also known as ms2io6A and 2-methylthio-cis-ribozeatin.
