class	class label	rhea	metacyc	ec	umbbd_enzyme	umbbd_reaction	kegg	img	is_leaf
GO:0033797	selenate reductase activity	RHEA:14031	MetaCyc:RXN0-2101	EC:1.97.1.9		UM-BBD_reactionID:r0828	KEGG:R07229		true
GO:0033798	thyroxine 5-deiodinase activity	RHEA:18897	MetaCyc:1.97.1.11-RXN	EC:1.97.1.11					true
GO:0034539	3,3',5,5'-tetrabromobisphenol A reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0821			true
GO:0034540	3-monobromobisphenol A reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0824			true
GO:0034542	trimethylarsine oxidase activity			EC:1.97.1		UM-BBD_reactionID:r0807			true
GO:0034546	2,4-dichloroaniline reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0819			true
GO:0034550	dimethylarsinate reductase activity			EC:1.97.1		UM-BBD_reactionID:r0838			true
GO:0034554	3,3',5-tribromobisphenol A reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0842			true
GO:0034555	3,3'-dibromobisphenol A reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r0844			true
GO:0034567	chromate reductase activity			EC:1.97.1		UM-BBD_reactionID:r0884			true
GO:0034937	perchlorate reductase activity			EC:1.97.1		UM-BBD_reactionID:r0980			true
GO:0034949	1,1-dichloroethane reductive dehalogenase activity			EC:1.97.1		UM-BBD_reactionID:r1008			true
GO:0035515	oxidative RNA demethylase activity								false
GO:0035516	oxidative DNA demethylase activity								true
GO:0036354	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase activity		MetaCyc:RXN-8787						true
GO:0042380	hydroxymethylbutenyl pyrophosphate reductase activity								true
GO:0043364	glycyl-radical enzyme activating activity			EC:1.97.1					false
GO:0043738	reduced coenzyme F420 dehydrogenase activity	RHEA:54752	MetaCyc:RXN-8106	EC:1.5.98.3					true
GO:0043826	sulfur oxygenase reductase activity	RHEA:13957	MetaCyc:RXN-8226	EC:1.13.11.55					true
GO:0043871	delta1-piperideine-6-carboxylate dehydrogenase activity		MetaCyc:RXN-8162						true
GO:0043880	crotonyl-CoA reductase activity								true
GO:0043883	malolactic enzyme activity			EC:1					true
GO:0043914	NADPH:sulfur oxidoreductase activity			EC:1.8.1.18				IMG:03008	true
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity								true
GO:0045550	geranylgeranyl reductase activity								true
GO:0046422	violaxanthin de-epoxidase activity			EC:1.10.99.3					true
GO:0046992	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond			EC:1.21					false
GO:0047143	chlorate reductase activity	RHEA:16349	MetaCyc:1.97.1.1-RXN	EC:1.97.1.1		UM-BBD_reactionID:r0981	KEGG:R03575		true
GO:0050629	tetrachloroethene reductive dehalogenase activity	RHEA:20353	MetaCyc:1.97.1.8-RXN	EC:1.97.1.8					true
GO:0050697	1,1,2-trichloroethene reductive dehalogenase activity		MetaCyc:TCEREDCHLOR-RXN		UM-BBD_enzymeID:e0271				true
GO:0050781	ortho-trichlorophenol reductive dehalogenase activity								true
GO:0051213	dioxygenase activity								false
GO:0051744	3,8-divinyl protochlorophyllide a 8-vinyl reductase activity		MetaCyc:RXN1F-72						true
GO:0052583	oxidoreductase activity, acting on halogen in donors			EC:1.22					false
GO:0052614	uracil oxygenase activity		MetaCyc:RXN0-6444						true
GO:0052693	epoxyqueuosine reductase activity	RHEA:32159		EC:1.17.99.6					true
GO:0052755	reduced coenzyme F420:quinone oxidoreductase activity								true
GO:0052765	reduced coenzyme F420 oxidase activity								true
GO:0070576	vitamin D 24-hydroxylase activity								false
GO:0070643	vitamin D 25-hydroxylase activity								false
GO:0080132	fatty acid alpha-hydroxylase activity								true
GO:0000031	mannosylphosphate transferase activity								true
GO:0008414	CDP-alcohol phosphotransferase activity								true
GO:0016741	transferase activity, transferring one-carbon groups			EC:2.1					false
GO:0016744	transferase activity, transferring aldehyde or ketonic groups			EC:2.2|EC:2.2.1					false
GO:0016746	transferase activity, transferring acyl groups			EC:2.3					false
GO:0016757	transferase activity, transferring glycosyl groups			EC:2.4					false
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups			EC:2.5|EC:2.5.1					false
GO:0016769	transferase activity, transferring nitrogenous groups			EC:2.6					false
GO:0016772	transferase activity, transferring phosphorus-containing groups			EC:2.7					false
GO:0016782	transferase activity, transferring sulfur-containing groups			EC:2.8					false
GO:0016785	transferase activity, transferring selenium-containing groups			EC:2.9|EC:2.9.1					false
GO:0019776	Atg8 ligase activity								true
GO:0019779	Atg8 activating enzyme activity								true
GO:0019787	ubiquitin-like protein transferase activity								false
GO:0042123	glucanosyltransferase activity								false
GO:0043842	Kdo transferase activity		MetaCyc:KDOTRANS-RXN|MetaCyc:KDOTRANS2-RXN						true
GO:0051075	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity								true
GO:0061599	molybdopterin molybdotransferase activity			EC:2.10.1.1					true
GO:0061863	microtubule plus end polymerase								true
GO:0003832	beta-alanyl-dopamine hydrolase activity								true
GO:0008233	peptidase activity			EC:3.4					false
GO:0016788	hydrolase activity, acting on ester bonds			EC:3.1					false
GO:0016798	hydrolase activity, acting on glycosyl bonds			EC:3.2					false
GO:0016801	hydrolase activity, acting on ether bonds			EC:3.3					false
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds			EC:3.5					false
GO:0016817	hydrolase activity, acting on acid anhydrides			EC:3.6					false
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds			EC:3.7					false
GO:0016824	hydrolase activity, acting on acid halide bonds			EC:3.8					false
GO:0016825	hydrolase activity, acting on acid phosphorus-nitrogen bonds			EC:3.9					false
GO:0016826	hydrolase activity, acting on acid sulfur-nitrogen bonds			EC:3.10					false
GO:0016827	hydrolase activity, acting on acid carbon-phosphorus bonds			EC:3.11					false
GO:0016828	hydrolase activity, acting on acid sulfur-sulfur bonds			EC:3.12					false
GO:0017171	serine hydrolase activity								false
GO:0019213	deacetylase activity								false
GO:0019239	deaminase activity								false
GO:0003923	GPI-anchor transamidase activity			EC:3					true
GO:0031964	beta-alanyl-histamine hydrolase activity								true
GO:0046508	hydrolase activity, acting on carbon-sulfur bonds			EC:3.13					false
GO:0051747	cytosine C-5 DNA demethylase activity								true
GO:0052770	coenzyme F390-A hydrolase activity			EC:3					true
GO:0052771	coenzyme F390-G hydrolase activity			EC:3					true
GO:0098599	palmitoyl hydrolase activity								false
GO:0101005	ubiquitinyl hydrolase activity								false
GO:0004325	ferrochelatase activity	RHEA:22584	MetaCyc:PROTOHEMEFERROCHELAT-RXN	EC:4.99.1.1			KEGG:R00310		false
GO:0016830	carbon-carbon lyase activity			EC:4.1					false
GO:0016835	carbon-oxygen lyase activity			EC:4.2					false
GO:0016840	carbon-nitrogen lyase activity			EC:4.3					false
GO:0016846	carbon-sulfur lyase activity			EC:4.4					false
GO:0016848	carbon-halide lyase activity			EC:4.5					false
GO:0016849	phosphorus-oxygen lyase activity			EC:4.6					false
GO:0016852	sirohydrochlorin cobaltochelatase activity	RHEA:15893	MetaCyc:4.99.1.3-RXN	EC:4.99.1.3					true
GO:0018835	carbon phosphorus lyase activity			EC:4.7.1					false
GO:0018836	alkylmercury lyase activity		MetaCyc:ALKYLMERCURY-LYASE-RXN	EC:4.99.1.2	UM-BBD_enzymeID:e0055				true
GO:0043729	2-amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one formate-lyase activity			EC:4					true
GO:0043779	cobalt-precorrin-5A acetaldehyde-lyase activity		MetaCyc:RXN-8763						true
GO:0047720	indoleacetaldoxime dehydratase activity	RHEA:23156	MetaCyc:RXN-1403	EC:4.99.1.6			KEGG:R04093		true
GO:0002952	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity								true
GO:0003916	DNA topoisomerase activity		MetaCyc:5.99.1.2-RXN						false
GO:0008719	dihydroneopterin triphosphate 2'-epimerase activity		MetaCyc:H2NTPEPIM-RXN	EC:5					true
GO:0009385	N-acylmannosamine-6-phosphate 2-epimerase activity		MetaCyc:NANE-RXN	EC:5					true
GO:0016854	racemase and epimerase activity			EC:5.1					false
GO:0016859	cis-trans isomerase activity			EC:5.2					false
GO:0016860	intramolecular oxidoreductase activity			EC:5.3					false
GO:0016866	intramolecular transferase activity			EC:5.4					false
GO:0016872	intramolecular lyase activity			EC:5.5					false
GO:0043800	hexulose-6-phosphate isomerase activity	RHEA:25900	MetaCyc:R12-RXN	EC:5.3.1.27					true
GO:0050335	thiocyanate isomerase activity	RHEA:10004	MetaCyc:THIOCYANATE-ISOMERASE-RXN	EC:5.99.1.1			KEGG:R04010		true
GO:0051120	hepoxilin A3 synthase activity								true
GO:0061593	sulfoquinovose isomerase activity								true
GO:0070284	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase activity								true
GO:0097260	eoxin A4 synthase activity								true
GO:0140226	RNA topoisomerase activity								true
GO:0003833	beta-alanyl-dopamine synthase activity								true
GO:0008754	O antigen ligase activity		MetaCyc:RXN0-5294						true
GO:0016875	ligase activity, forming carbon-oxygen bonds			EC:6.1					false
GO:0016877	ligase activity, forming carbon-sulfur bonds			EC:6.2					false
GO:0016879	ligase activity, forming carbon-nitrogen bonds			EC:6.3					false
GO:0016885	ligase activity, forming carbon-carbon bonds			EC:6.4					false
GO:0016886	ligase activity, forming phosphoric ester bonds			EC:6.5					false
GO:0045438	delta-(L-alpha-aminoadipyl)-L-cysteinyl-D-valine synthetase activity								true
GO:0051002	ligase activity, forming nitrogen-metal bonds			EC:6.6					false
GO:0103016	tRNA-specific 2-thiouridylase activity		MetaCyc:RXN0-2023						true
GO:0004162	dimethylnitrosamine demethylase activity								true
GO:0008398	sterol 14-demethylase activity	RHEA:14917	MetaCyc:1.14.13.70-RXN	EC:1.14.13.70					true
GO:0018487	vanillate O-demethylase (anaerobic) activity					UM-BBD_reactionID:r0758			true
GO:0018489	vanillate monooxygenase activity	RHEA:13021	MetaCyc:RXN-10891|MetaCyc:RXN-2	EC:1.14.13.82		UM-BBD_reactionID:r0146	KEGG:R05274		true
GO:0032452	histone demethylase activity								false
GO:0035514	DNA demethylase activity								false
GO:0098608	methylselenol demethylase activity								true
GO:0003796	lysozyme activity		MetaCyc:3.2.1.17-RXN	EC:3.2.1.17					true
GO:0008745	N-acetylmuramoyl-L-alanine amidase activity		MetaCyc:3.5.1.28-RXN	EC:3.5.1.28					true
GO:0008933	lytic transglycosylase activity			EC:3.2.1					false
GO:0061784	peptidoglycan N-acetylglucosaminidase activity								true
GO:0061785	peptidoglycan endopeptidase activity								false
GO:0003755	peptidyl-prolyl cis-trans isomerase activity		MetaCyc:PEPTIDYLPROLYL-ISOMERASE-RXN	EC:5.2.1.8					true
GO:0003756	protein disulfide isomerase activity		MetaCyc:5.3.4.1-RXN	EC:5.3.4.1					true
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity			EC:2.3.1.61					true
GO:0004597	peptide-aspartate beta-dioxygenase activity		MetaCyc:PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	EC:1.14.11.16					true
GO:0004598	peptidylamidoglycolate lyase activity		MetaCyc:PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN	EC:4.3.2.5					true
GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity		MetaCyc:2.4.1.41-RXN	EC:2.4.1.41					true
GO:0004672	protein kinase activity		MetaCyc:PROTEIN-KINASE-RXN						false
GO:0004720	protein-lysine 6-oxidase activity		MetaCyc:PROTEIN-LYSINE-6-OXIDASE-RXN	EC:1.4.3.13					true
GO:0004721	phosphoprotein phosphatase activity		MetaCyc:3.1.3.16-RXN	EC:3.1.3.16					false
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity			EC:2.3.1.12					true
GO:0004835	tubulin-tyrosine ligase activity		MetaCyc:6.3.2.25-RXN	EC:6.3.2.25					true
GO:0008276	protein methyltransferase activity								false
GO:0008318	protein prenyltransferase activity								false
GO:0008474	palmitoyl-(protein) hydrolase activity		MetaCyc:3.1.2.22-RXN	EC:3.1.2.22					true
GO:0008476	protein-tyrosine sulfotransferase activity		MetaCyc:PROTEIN-TYROSINE-SULFOTRANSFERASE-RXN	EC:2.8.2.20					true
GO:0008568	microtubule-severing ATPase activity		MetaCyc:3.6.4.3-RXN	EC:3.6.4.3					true
GO:0008770	[acyl-carrier-protein] phosphodiesterase activity		MetaCyc:3.1.4.14-RXN	EC:3.1.4.14					true
GO:0008773	[protein-PII] uridylyltransferase activity		MetaCyc:URITRANS-RXN	EC:2.7.7.59					true
GO:0008961	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity								true
GO:0016262	protein N-acetylglucosaminyltransferase activity		MetaCyc:2.4.1.94-RXN	EC:2.4.1.94					true
GO:0016755	transferase activity, transferring amino-acyl groups			EC:2.3.2					false
GO:0016979	lipoate-protein ligase activity		MetaCyc:RXN-13039|MetaCyc:RXN-8654|MetaCyc:RXN-8655|MetaCyc:RXN0-1141						true
GO:0018031	peptidyl-lysine N6-palmitoyltransferase activity			EC:2.3.1					true
GO:0018271	biotin-protein ligase activity		MetaCyc:BIOTINLIG-RXN	EC:6.3.4					false
GO:0019707	protein-cysteine S-acyltransferase activity								false
GO:0030158	protein xylosyltransferase activity		MetaCyc:2.4.2.26-RXN	EC:2.4.2.26					true
GO:0031543	peptidyl-proline dioxygenase activity								false
GO:0033558	protein deacetylase activity								false
GO:0033823	procollagen glucosyltransferase activity		MetaCyc:PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN	EC:2.4.1.66					true
GO:0033830	Skp1-protein-hydroxyproline N-acetylglucosaminyltransferase activity			EC:2.4.1.229					true
GO:0035605	peptidyl-cysteine S-nitrosylase activity								true
GO:0036139	peptidyl-histidine dioxygenase activity								true
GO:0036140	peptidyl-asparagine 3-dioxygenase activity								true
GO:0036524	protein deglycase activity								true
GO:0044603	protein adenylylhydrolase activity								true
GO:0046922	peptide-O-fucosyltransferase activity		MetaCyc:2.4.1.221-RXN	EC:2.4.1.221					true
GO:0047187	deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase activity		MetaCyc:2.3.1.49-RXN	EC:2.3.1.49					true
GO:0047211	alpha-1,4-glucan-protein synthase (ADP-forming) activity		MetaCyc:2.4.1.113-RXN	EC:2.4.1.113					true
GO:0047388	[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase		MetaCyc:3.1.4.15-RXN	EC:2.7.7.89			KEGG:R03474		true
GO:0047402	protein-glucosylgalactosylhydroxylysine glucosidase activity		MetaCyc:3.2.1.107-RXN	EC:3.2.1.107					true
GO:0050169	peptide-tryptophan 2,3-dioxygenase activity		MetaCyc:PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE-RXN	EC:1.13.11.26					true
GO:0050211	procollagen galactosyltransferase activity		MetaCyc:PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN	EC:2.4.1.50					true
GO:0051723	protein methylesterase activity								false
GO:0061607	peptide alpha-N-propionyltransferase activity								true
GO:0070735	protein-glycine ligase activity			EC:6.3.2					false
GO:0070739	protein-glutamic acid ligase activity			EC:6.3.2					false
GO:0070815	peptidyl-lysine 5-dioxygenase activity								false
GO:0102193	protein-ribulosamine 3-kinase activity		MetaCyc:RXN-12003	EC:2.7.1.172					true
GO:0102194	protein-fructosamine 3-kinase activity		MetaCyc:RXN-12005	EC:2.7.1.171					true
GO:0103039	protein methylthiotransferase activity		MetaCyc:RXN0-6366	EC:2.8.4.4					true
GO:0140103	catalytic activity, acting on a glycoprotein								false
GO:1990404	protein ADP-ribosylase activity								true
GO:0000150	recombinase activity								false
GO:0003678	DNA helicase activity								false
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity								false
GO:0003909	DNA ligase activity								false
GO:0003912	DNA nucleotidylexotransferase activity		MetaCyc:DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN	EC:2.7.7.31					true
GO:0003913	DNA photolyase activity		MetaCyc:DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC:4.1.99					false
GO:0004536	deoxyribonuclease activity								false
GO:0004803	transposase activity								true
GO:0008907	integrase activity								false
GO:0009008	DNA-methyltransferase activity								false
GO:0015616	DNA translocase activity								false
GO:0019104	DNA N-glycosylase activity			EC:3.2.2					false
GO:0033677	DNA/RNA helicase activity			EC:2.7.7					false
GO:0033820	DNA alpha-glucosyltransferase activity		MetaCyc:2.4.1.26-RXN	EC:2.4.1.26					true
GO:0033821	DNA beta-glucosyltransferase activity		MetaCyc:2.4.1.27-RXN	EC:2.4.1.27					true
GO:0033958	DNA-deoxyinosine glycosylase activity		MetaCyc:3.2.2.15-RXN	EC:3.2.2.15					true
GO:0033959	deoxyribodipyrimidine endonucleosidase activity		MetaCyc:3.2.2.17-RXN	EC:3.2.2.17					true
GO:0034061	DNA polymerase activity								false
GO:0036310	annealing helicase activity								true
GO:0043336	site-specific telomere resolvase activity								true
GO:0044825	retroviral strand transfer activity								true
GO:0051575	5'-deoxyribose-5-phosphate lyase activity								true
GO:0070259	tyrosyl-DNA phosphodiesterase activity								false
GO:0090580	phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands								true
GO:0000384	first spliceosomal transesterification activity								true
GO:0000386	second spliceosomal transesterification activity								true
GO:0003724	RNA helicase activity			EC:2.7.7					false
GO:0004540	ribonuclease activity								false
GO:0008173	RNA methyltransferase activity								false
GO:0008452	RNA ligase activity								false
GO:0030597	RNA glycosylase activity								false
GO:0036317	tyrosyl-RNA phosphodiesterase activity								true
GO:0050265	RNA uridylyltransferase activity		MetaCyc:RNA-URIDYLYLTRANSFERASE-RXN	EC:2.7.7.52					true
GO:0097747	RNA polymerase activity								false
GO:0098680	template-free RNA nucleotidyltransferase								true
GO:0106032	snRNA pseudouridine synthase activity								true
GO:0120159	rRNA pseudouridine synthase activity			EC:5.4.99.19|EC:5.4.99.20|EC:5.4.99.21|EC:5.4.99.22|EC:5.4.99.23|EC:5.4.99.24|EC:5.4.99.29|EC:5.4.99.43					true
GO:0140101	catalytic activity, acting on a tRNA								false
GO:0140102	catalytic activity, acting on a rRNA								false
GO:0008294	calcium- and calmodulin-responsive adenylate cyclase activity								true
GO:0034073	tetrahymanol cyclase activity								true
GO:0051007	squalene-hopene cyclase activity		MetaCyc:5.4.99.17-RXN	EC:5.4.99.17					true
GO:0047396	glycosylphosphatidylinositol diacylglycerol-lyase activity	RHEA:14333	MetaCyc:3.1.4.47-RXN	EC:4.6.1.14					true
GO:0008389	coumarin 7-hydroxylase activity								true
GO:0008391	arachidonic acid monooxygenase activity								false
GO:0008395	steroid hydroxylase activity								false
GO:0008399	naphthalene hydroxylase activity								true
GO:0008401	retinoic acid 4-hydroxylase activity								true
GO:0008403	25-hydroxycholecalciferol-24-hydroxylase activity								true
GO:0010291	carotene beta-ring hydroxylase activity								true
GO:0016703	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)			EC:1.13.12					false
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen			EC:1.14.13					false
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen			EC:1.14.14	UM-BBD_enzymeID:e0551				false
GO:0016713	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen			EC:1.14.15					false
GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen			EC:1.14.16					false
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen			EC:1.14.17					false
GO:0016716	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen			EC:1.14.18					false
