class	class label	def	unmatched_term	rhea_chebi_id	rhea_chebi_id label	info	score	rhea	ec	metacyc
GO:0034827	1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene extradiol dioxygenase activity	Catalysis of the reaction: 1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene + O2 = 4-(2-oxocyclohexyl)-2-hydroxy-buta-2,4-dienoate + H+.	1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene							
GO:0034827	1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene extradiol dioxygenase activity	Catalysis of the reaction: 1,2-dihydroxy-5,6,7,8-tetrahydronaphthalene + O2 = 4-(2-oxocyclohexyl)-2-hydroxy-buta-2,4-dienoate + H+.	4-(2-oxocyclohexyl)-2-hydroxy-buta-2,4-dienoate							
GO:0047089	dihydrochelirubine 12-monooxygenase activity	Catalysis of the reaction: dihydrochelirubine + H(+) + NADPH + O(2) = 12-hydroxydihydrochelirubine + H(2)O + NADP(+).	O(2)							
GO:0047089	dihydrochelirubine 12-monooxygenase activity	Catalysis of the reaction: dihydrochelirubine + H(+) + NADPH + O(2) = 12-hydroxydihydrochelirubine + H(2)O + NADP(+).	H(2)O							
GO:0003875	ADP-ribosylarginine hydrolase activity	Catalysis of the reaction: N2-(ADP-D-ribosyl)-L-arginine + H2O = L-arginine + ADP-ribose.	N2-(ADP-D-ribosyl)-L-arginine							
GO:0003875	ADP-ribosylarginine hydrolase activity	Catalysis of the reaction: N2-(ADP-D-ribosyl)-L-arginine + H2O = L-arginine + ADP-ribose.	ADP-ribose							
GO:0047284	dolichyl-xylosyl-phosphate-protein xylosyltransferase activity	Catalysis of the reaction: dolichyl D-xylosyl phosphate + protein = dolichol-phosphate + D-xylosylprotein.	dolichol-phosphate							
GO:0047284	dolichyl-xylosyl-phosphate-protein xylosyltransferase activity	Catalysis of the reaction: dolichyl D-xylosyl phosphate + protein = dolichol-phosphate + D-xylosylprotein.	D-xylosylprotein							
GO:0036402	proteasome-activating ATPase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate, which promotes unfolding of protein substrates, and channel opening of the core proteasome.	phosphate, which promotes unfolding of protein substrates, and channel opening of the core proteasome							
GO:0004144	diacylglycerol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + 1,2-diacylglycerol = CoA + triacylglycerol.	1,2-diacylglycerol	http://purl.obolibrary.org/obo/CHEBI_49172	1,2-diglyceride	newsyn	0.6666666666666666			
GO:0004144	diacylglycerol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + 1,2-diacylglycerol = CoA + triacylglycerol.	triacylglycerol	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride	newsyn	0.5			
GO:0004144	diacylglycerol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + 1,2-diacylglycerol = CoA + triacylglycerol.	1,2-diacylglycerol	http://purl.obolibrary.org/obo/CHEBI_49172	1,2-diglyceride	newsyn	0.6666666666666666			
GO:0004144	diacylglycerol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + 1,2-diacylglycerol = CoA + triacylglycerol.	triacylglycerol	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride	newsyn	0.5			
GO:0004636	phosphoribosyl-ATP diphosphatase activity	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + H(2)O = 1-(5-phosphonatoribosyl)-5'-AMP + diphosphate + H(+).	H(2)O							
GO:0004636	phosphoribosyl-ATP diphosphatase activity	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + H(2)O = 1-(5-phosphonatoribosyl)-5'-AMP + diphosphate + H(+).	1-(5-phosphonatoribosyl)-5'-AMP							
GO:0004636	phosphoribosyl-ATP diphosphatase activity	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + H(2)O = 1-(5-phosphonatoribosyl)-5'-AMP + diphosphate + H(+).	H(2)O							
GO:0004636	phosphoribosyl-ATP diphosphatase activity	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + H(2)O = 1-(5-phosphonatoribosyl)-5'-AMP + diphosphate + H(+).	1-(5-phosphonatoribosyl)-5'-AMP							
GO:0016314	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	Catalysis of the reaction: phosphatidylinositol-3,4,5-trisphosphate + H2O = phosphatidylinositol-4,5-bisphosphate + phosphate.	phosphatidylinositol-3,4,5-trisphosphate							
GO:0016314	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	Catalysis of the reaction: phosphatidylinositol-3,4,5-trisphosphate + H2O = phosphatidylinositol-4,5-bisphosphate + phosphate.	phosphatidylinositol-4,5-bisphosphate							
GO:0001733	galactosylceramide sulfotransferase activity	Catalysis of the reaction: 3'-phosphoadenosine 5'-phosphosulfate + a galactosylceramide = adenosine 3',5'-bisphosphate + a galactosylceramidesulfate.	galactosylceramidesulfate							
GO:0052642	lysophosphatidic acid phosphatase activity	Catalysis of the reaction: lysophosphatidic acid + H2O = phosphate + monoacylglycerol.	monoacylglycerol	http://purl.obolibrary.org/obo/CHEBI_17408	monoglyceride	newsyn	0.5			
GO:0080106	7-methylthiopropyl glucosinolate S-oxygenase activity	Catalysis of the reaction: 7-methylthiopropyl-glucosinolate = 7-methylsulfinylpropyl-glucosinolate.	7-methylthiopropyl-glucosinolate							
GO:0080106	7-methylthiopropyl glucosinolate S-oxygenase activity	Catalysis of the reaction: 7-methylthiopropyl-glucosinolate = 7-methylsulfinylpropyl-glucosinolate.	7-methylsulfinylpropyl-glucosinolate							
GO:0004033	aldo-keto reductase (NADP) activity	Catalysis of the reaction: an alcohol + NADP+ = an aldehyde or a ketone + NADPH + H+.	aldehyde or a ketone							
GO:0044318	L-aspartate:fumarate oxidoreductase activity	Catalysis of the reaction: L-aspartate + fumarate = alpha-iminosuccinate + succinate.	alpha-iminosuccinate							
GO:0044318	L-aspartate:fumarate oxidoreductase activity	Catalysis of the reaction: L-aspartate + fumarate = alpha-iminosuccinate + succinate.	alpha-iminosuccinate							
GO:0016434	rRNA (cytosine) methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine + rRNA = S-adenosyl-L-homocysteine + rRNA containing methylcytosine.	rRNA containing methylcytosine							
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity	Catalysis of the reaction: CMP-N-acetylneuraminate + beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide = CMP + alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide.	beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide							
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity	Catalysis of the reaction: CMP-N-acetylneuraminate + beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide = CMP + alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide.	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide							
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity	Catalysis of the reaction: CMP-N-acetylneuraminate + beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide = CMP + alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide.	beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide							
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity	Catalysis of the reaction: CMP-N-acetylneuraminate + beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide = CMP + alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide.	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide							
GO:0051699	proline oxidase activity	Catalysis of the reaction: L-proline + O2 + H2O = L-delta1-pyrroline-5-carboxylate + H2O2.	L-delta1-pyrroline-5-carboxylate							
GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity	Catalysis of the reaction: 8-amino-7-oxononanoate + S-adenosyl-L-methionine(1+) = 7,8-diaminononanoate + S-adenosyl-4-methylthio-2-oxobutanoate.	S-adenosyl-L-methionine(1+)							
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity	Catalysis of the reaction: ATP + 1D-myo-inositol 1,3,4,5,6-pentakisphosphate = ADP + diphospho-1D-myo-inositol tetrakisphosphate. The isomeric configuration of diphospho-1D-myo-inositol tetrakisphosphate is unknown.	diphospho-1D-myo-inositol tetrakisphosphate							
GO:0031071	cysteine desulfurase activity	Catalysis of the reaction: L-cysteine + [enzyme]-cysteine = L-alanine + [enzyme]-S-sulfanylcysteine.	[enzyme]-cysteine							
GO:0031071	cysteine desulfurase activity	Catalysis of the reaction: L-cysteine + [enzyme]-cysteine = L-alanine + [enzyme]-S-sulfanylcysteine.	[enzyme]-S-sulfanylcysteine							
GO:0008967	phosphoglycolate phosphatase activity	Catalysis of the reaction: 2-phosphoglycolate + H(2)O = glycolate + phosphate.	H(2)O							
GO:0047773	carnitinamidase activity	Catalysis of the reaction: (R)-carnitinamide + H(2)O = (R)-carnitine + NH(4)(+).	H(2)O							
GO:0047773	carnitinamidase activity	Catalysis of the reaction: (R)-carnitinamide + H(2)O = (R)-carnitine + NH(4)(+).	NH(4)(+)							
GO:0050410	3-oxolaurate decarboxylase activity	Catalysis of the reaction: 3-oxolaurate + H(+) = 2-undecanone + CO(2).	3-oxolaurate							
GO:0050410	3-oxolaurate decarboxylase activity	Catalysis of the reaction: 3-oxolaurate + H(+) = 2-undecanone + CO(2).	CO(2)							
GO:0046539	histamine N-methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine(1+) + histamine = N(tau)-methylhistamine + S-adenosyl-L-homocysteine + H(+).	S-adenosyl-L-methionine(1+)							
GO:0018572	3,5-dichlorocatechol 1,2-dioxygenase activity	Catalysis of the reaction: 3,5-dichlorocatechol + O2 = 2 H+ + 2,4-dichloro-cis,cis-muconate.	2,4-dichloro-cis,cis-muconate							
GO:0004410	homocitrate synthase activity	Catalysis of the reaction: 2-oxoglutarate + acetyl-CoA + H(2)O = CoA + H(+) + homocitrate.	H(2)O							
GO:0004410	homocitrate synthase activity	Catalysis of the reaction: 2-oxoglutarate + acetyl-CoA + H(2)O = CoA + H(+) + homocitrate.	H(2)O							
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate, in the presence of single-stranded DNA; drives the unwinding of a DNA helix.	phosphate, in the presence of single-stranded DNA							
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate, in the presence of single-stranded DNA; drives the unwinding of a DNA helix.	phosphate, in the presence of single-stranded DNA; drives the unwinding of a DNA helix							
GO:0046571	aspartate-2-keto-4-methylthiobutyrate transaminase activity	Catalysis of the reaction: 2-keto-4-methylthiobutyrate + aspartate = methionine + oxaloacetate.	2-keto-4-methylthiobutyrate							
GO:0046974	histone methyltransferase activity (H3-K9 specific)	Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 9) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 9). This reaction is the addition of a methyl group onto lysine at position 9 of the histone H3 protein.	histone H3 L-lysine (position 9)							
GO:0046974	histone methyltransferase activity (H3-K9 specific)	Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 9) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 9). This reaction is the addition of a methyl group onto lysine at position 9 of the histone H3 protein.	histone H3 N6-methyl-L-lysine (position 9)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0008812	choline dehydrogenase activity	Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.	AH(2)							
GO:0050120	N-acetylhexosamine 1-dehydrogenase activity	Catalysis of the reaction: N-acetyl-D-glucosamine + H(2)O + NAD(+) = N-acetyl-D-glucosaminate + 2 H(+) + NADH.	H(2)O							
GO:0052833	inositol monophosphate 4-phosphatase activity	Catalysis of the reaction: myo-inositol 4-phosphate + H2O = myo-inositol + phosphate.	myo-inositol 4-phosphate							
GO:0018672	anthranilate 3-monooxygenase (deaminating) activity	Catalysis of the reaction: anthranilate + 2 H(+) + NADPH + O(2) = 2,3-dihydroxybenzoate + NADP(+) + NH(4)(+).	O(2)							
GO:0018672	anthranilate 3-monooxygenase (deaminating) activity	Catalysis of the reaction: anthranilate + 2 H(+) + NADPH + O(2) = 2,3-dihydroxybenzoate + NADP(+) + NH(4)(+).	NH(4)(+)							
GO:0010487	thermospermine synthase activity	Catalysis of the reaction: S-adenosyl-L-methioninamine + spermidine = S-methyl-5'-thioadenosine + thermospermine + H+.	S-adenosyl-L-methioninamine							
GO:0033791	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity	Catalysis of the reaction: (25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA + H2O + acceptor = (24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA + reduced acceptor.	reduced acceptor							
GO:0016844	strictosidine synthase activity	Catalysis of the reaction: 3alpha(S)-strictosidine + H(2)O = secologanin + tryptamine.	H(2)O							
GO:0034936	4,6-dichloro-3-methylcatechol 1,2-dioxygenase activity	Catalysis of the reaction: 4,6-dichloro-3-methylcatechol + O2 = 3,5-dichloro-3-methyl-cis,cis-muconate + 2 H+.	4,6-dichloro-3-methylcatechol							
GO:0034936	4,6-dichloro-3-methylcatechol 1,2-dioxygenase activity	Catalysis of the reaction: 4,6-dichloro-3-methylcatechol + O2 = 3,5-dichloro-3-methyl-cis,cis-muconate + 2 H+.	3,5-dichloro-3-methyl-cis,cis-muconate							
GO:0034786	9-fluorenone-3,4-dioxygenase activity	Catalysis of the reaction: 9-fluorenone + O2 + 2 H+ + 2 e- = 1-hydro-1,1a-dihydroxy-9-fluorenone.	1-hydro-1,1a-dihydroxy-9-fluorenone							
GO:0034568	isoproturon dimethylaminedehydrogenase activity	Catalysis of the reaction: isoproturon + H2O = formaldehyde + monodemethylisoproturon + 2 H+ + 2 e-.	monodemethylisoproturon							
GO:0018727	2-phenanthrol sulfotransferase activity	Catalysis of the reaction: 2-phenanthrol + X-SO3(-) = HX + 2-phenanthrylsulfate.	X-SO3(-)							
GO:0018727	2-phenanthrol sulfotransferase activity	Catalysis of the reaction: 2-phenanthrol + X-SO3(-) = HX + 2-phenanthrylsulfate.	X-SO3(-)							
GO:0051075	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity	Catalysis of the reaction: S-adenosylmethionine + 7-(aminomethyl)-7-deazaguanosine-tRNA = adenine + methionine + epoxyqueuosine-tRNA. 7-(aminomethyl)-7-deazaguanosine-tRNA is also known as preQ1-tRNA, and epoxyqueuosine-tRNA as oQ-tRNA.	7-(aminomethyl)-7-deazaguanosine-tRNA							
GO:0051075	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity	Catalysis of the reaction: S-adenosylmethionine + 7-(aminomethyl)-7-deazaguanosine-tRNA = adenine + methionine + epoxyqueuosine-tRNA. 7-(aminomethyl)-7-deazaguanosine-tRNA is also known as preQ1-tRNA, and epoxyqueuosine-tRNA as oQ-tRNA.	epoxyqueuosine-tRNA							
GO:0047971	guanidinobutyrase activity	Catalysis of the reaction: 4-guanidinobutanoate + H(2)O = 4-aminobutanoate + urea.	H(2)O							
GO:0047971	guanidinobutyrase activity	Catalysis of the reaction: 4-guanidinobutanoate + H(2)O = 4-aminobutanoate + urea.	H(2)O							
GO:0018599	2-hydroxyisobutyrate 3-monooxygenase activity	Catalysis of the reaction: 2-hydroxyisobutyrate + 1/2 O2 = 2,3-dihydroxy-2-methyl propionate.	1/2 O2							
GO:0018599	2-hydroxyisobutyrate 3-monooxygenase activity	Catalysis of the reaction: 2-hydroxyisobutyrate + 1/2 O2 = 2,3-dihydroxy-2-methyl propionate.	2,3-dihydroxy-2-methyl propionate							
GO:0004416	hydroxyacylglutathione hydrolase activity	Catalysis of the reaction: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy carboxylate.	(S)-(2-hydroxyacyl)glutathione							
GO:0047812	D-amino-acid N-acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + a D-amino acid = CoA + an N-acetyl-D-amino-acid.	D-amino acid	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion	newsyn	0.75			
GO:0047812	D-amino-acid N-acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + a D-amino acid = CoA + an N-acetyl-D-amino-acid.	N-acetyl-D-amino-acid							
GO:0047812	D-amino-acid N-acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + a D-amino acid = CoA + an N-acetyl-D-amino-acid.	D-amino acid	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion	newsyn	0.75			
GO:0047812	D-amino-acid N-acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + a D-amino acid = CoA + an N-acetyl-D-amino-acid.	N-acetyl-D-amino-acid							
GO:0047387	serine-ethanolaminephosphate phosphodiesterase activity	Catalysis of the reaction: H(2)O + serine phosphoethanolamine = H(+) + phosphoethanolamine + serine.	H(2)O							
GO:0047064	sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity	Catalysis of the reaction: O(2) + 2 sulochrin = 2 (2S)-bisdechlorogeodin + 2 H(2)O.	O(2)							
GO:0047064	sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity	Catalysis of the reaction: O(2) + 2 sulochrin = 2 (2S)-bisdechlorogeodin + 2 H(2)O.	H(2)O							
GO:0050046	lathosterol oxidase activity	Catalysis of the reaction: 5-alpha-cholest-7-en-3-beta-ol + O2 = cholesta-5,7-dien-3-beta-ol + H2O2.	5-alpha-cholest-7-en-3-beta-ol							
GO:0050046	lathosterol oxidase activity	Catalysis of the reaction: 5-alpha-cholest-7-en-3-beta-ol + O2 = cholesta-5,7-dien-3-beta-ol + H2O2.	cholesta-5,7-dien-3-beta-ol							
GO:0038075	MAP kinase activity involved in innate immune response	Catalysis of the reaction: protein + ATP = protein phosphate + ADP by a mitogen-activated protein kinase, as part of a MAPK signaling cascade that contributes to an innate immune response.	protein phosphate							
GO:0038075	MAP kinase activity involved in innate immune response	Catalysis of the reaction: protein + ATP = protein phosphate + ADP by a mitogen-activated protein kinase, as part of a MAPK signaling cascade that contributes to an innate immune response.	ADP by a mitogen-activated protein kinase, as part of a MAPK signaling cascade that contributes to an innate immune response							
GO:0004375	glycine dehydrogenase (decarboxylating) activity	Catalysis of the reaction: glycine + lipoylprotein = S-aminomethyldihydrolipoylprotein + CO2.	S-aminomethyldihydrolipoylprotein							
GO:0047720	indoleacetaldoxime dehydratase activity	Catalysis of the reaction: (indol-3-yl)acetaldehyde oxime = (indol-3-yl)acetonitrile + H(2)O.	H(2)O							
GO:0047435	5-guanidino-2-oxopentanoate decarboxylase activity	Catalysis of the reaction: 5-guanidino-2-oxopentanoate + H(+) = 4-guanidinobutanal + CO(2).	CO(2)							
GO:0050309	sugar-terminal-phosphatase activity	Catalysis of the reaction: H2O + sugar phosphorylated on the terminal carbon = a sugar + phosphate.	sugar phosphorylated on the terminal carbon							
GO:0050309	sugar-terminal-phosphatase activity	Catalysis of the reaction: H2O + sugar phosphorylated on the terminal carbon = a sugar + phosphate.	sugar							
GO:0015043	leghemoglobin reductase activity	Catalysis of the reaction: NADPH + H+ + 2 ferrileghemoglobin = NADP+ + 2 ferroleghemoglobin.	ferrileghemoglobin							
GO:0003964	RNA-directed DNA polymerase activity	Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.	deoxynucleoside triphosphate							
GO:0003964	RNA-directed DNA polymerase activity	Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.	deoxynucleoside triphosphate							
GO:0061750	acid sphingomyelin phosphodiesterase activity	Catalysis of the reaction: H(2)O + sphingomyelin = ceramide + choline phosphate + H(+) in an acidic environment.	H(2)O							
GO:0061750	acid sphingomyelin phosphodiesterase activity	Catalysis of the reaction: H(2)O + sphingomyelin = ceramide + choline phosphate + H(+) in an acidic environment.	choline phosphate							
GO:0061750	acid sphingomyelin phosphodiesterase activity	Catalysis of the reaction: H(2)O + sphingomyelin = ceramide + choline phosphate + H(+) in an acidic environment.	H(+) in an acidic environment							
GO:0047272	phosphopolyprenol glucosyltransferase activity	Catalysis of the reaction: polyprenyl phosphate + UDP-D-glucose = polyprenylphosphate-glucose + UDP.	polyprenylphosphate-glucose							
GO:0047272	phosphopolyprenol glucosyltransferase activity	Catalysis of the reaction: polyprenyl phosphate + UDP-D-glucose = polyprenylphosphate-glucose + UDP.	polyprenylphosphate-glucose							
GO:0047183	anthocyanin 5-aromatic acyltransferase activity	Catalysis of the reaction: anthocyanidin-3,5-diglucoside + hydroxycinnamoyl-CoA = anthocyanidin 3-glucoside-5-hydroxycinnamoylglucoside + CoA.	anthocyanidin-3,5-diglucoside							
GO:0047183	anthocyanin 5-aromatic acyltransferase activity	Catalysis of the reaction: anthocyanidin-3,5-diglucoside + hydroxycinnamoyl-CoA = anthocyanidin 3-glucoside-5-hydroxycinnamoylglucoside + CoA.	hydroxycinnamoyl-CoA							
